City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Ulladulla,AU,2021-05-24 17:01:50,-35.35,150.4667,57.87,91,94,5.26
203,Gretna,US,2021-05-24 17:01:51,29.9147,-90.054,83.98,56,40,5.01
204,Pevek,RU,2021-05-24 17:01:51,69.7008,170.3133,24.33,87,100,4.32
205,Severo-Yeniseyskiy,RU,2021-05-24 17:01:51,60.3725,93.0408,43.0,97,100,3.33
206,Ponta Do Sol,PT,2021-05-24 17:01:52,32.6667,-17.1,72.12,66,54,3.91
207,Sinegorye,RU,2021-05-24 17:01:52,62.0788,150.477,43.45,59,95,3.31
208,Saint-Augustin,CA,2021-05-24 17:01:52,51.226,-58.6502,46.24,28,94,15.21
209,Sarny,UA,2021-05-24 17:01:53,51.338,26.6019,61.11,66,92,1.99
210,Balurghat,IN,2021-05-24 17:01:53,25.2167,88.7667,90.23,57,87,7.7
211,Virginia Beach,US,2021-05-24 16:59:57,36.8529,-75.978,74.1,76,100,1.99
212,Copiapo,CL,2021-05-24 17:00:29,-27.3667,-70.3333,76.78,19,100,4.81
213,Marawi,PH,2021-05-24 17:01:53,7.9986,124.2928,71.65,93,70,0.81
214,Kupang,ID,2021-05-24 17:01:54,-10.1667,123.5833,75.27,86,39,6.96
215,Meulaboh,ID,2021-05-24 17:01:54,4.1363,96.1285,78.55,88,72,4.07
216,Ossora,RU,2021-05-24 17:01:54,59.2353,163.0719,32.0,88,27,5.3
217,Lima,PE,2021-05-24 16:58:39,-12.0432,-77.0282,70.14,77,40,8.05
218,Tasiilaq,GL,2021-05-24 17:01:55,65.6145,-37.6368,35.76,71,100,31.92
219,Kavaratti,IN,2021-05-24 17:01:55,10.5669,72.642,84.13,74,87,10.47
220,Fagersta,SE,2021-05-24 17:01:55,60.0042,15.7932,58.68,81,100,3.29
221,Namibe,AO,2021-05-24 17:01:56,-15.1961,12.1522,76.23,69,11,7.72
222,Dunedin,NZ,2021-05-24 16:59:32,-45.8742,170.5036,43.81,70,21,3.0
223,Minot,US,2021-05-24 17:01:56,48.2325,-101.2963,69.78,40,0,17.94
224,Urzhum,RU,2021-05-24 17:01:57,57.1141,49.9996,59.18,72,93,6.49
