City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Lata,PT,79.0,clear sky,40.1629,-8.3327,Casa Maquia
351,Le Port,RE,80.89,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
352,Mulchen,CL,51.55,overcast clouds,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
353,Dzaoudzi,YT,85.89,light rain,-12.7887,45.2699,Le Rocher
354,Linjiang,CN,61.07,overcast clouds,41.8069,126.9078,格林豪泰
355,Tailai,CN,75.88,light rain,46.3833,123.4,Pearl Garden Hotel
356,Luhyny,UA,58.06,broken clouds,51.082,28.4006,Hotel Glamour
358,Xiangxiang,CN,74.39,broken clouds,27.7333,112.5333,Huatai International Hotel
360,Kribi,CM,82.71,light rain,2.95,9.9167,Les Vagues bleues
361,Shimoda,JP,69.17,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
362,Wexford,IE,63.21,broken clouds,52.3342,-6.4575,Talbot Hotel Wexford
363,Panji,ID,78.15,overcast clouds,-7.7253,114.0995,Rumah andre
364,Ardmore,US,62.13,moderate rain,34.1743,-97.1436,"Candlewood Suites Ardmore, an IHG Hotel"
365,Chauk,MM,92.14,broken clouds,20.8833,94.8167,Bo Khin Guest House
366,Black River,JM,82.4,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
367,Segezha,RU,55.24,overcast clouds,63.7415,34.3222,Sampo Hotel
368,Pisco,PE,64.4,mist,-13.7,-76.2167,Hotel San Isidro Oficial
369,Itarema,BR,82.42,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
370,Virginia Beach,US,61.03,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
371,Yenagoa,NG,84.81,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
372,Acapulco,MX,78.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
373,Kosonsoy,UZ,88.36,few clouds,41.2561,71.5508,"Гостиница ""Goldstar'"
374,Buchanan,LR,82.36,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
379,Marawi,PH,73.65,heavy intensity rain,7.9986,124.2928,Derogongan Residence
380,Nambucca Heads,AU,51.8,clear sky,-30.65,153.0,Marcel Towers Holiday Apartments
381,Poum,NC,71.56,scattered clouds,-20.2333,164.0167,Gîte kajeon
382,Naze,JP,72.25,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
383,Russell,US,65.91,clear sky,32.3502,-85.1999,Macs
384,Freeport,US,54.37,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
385,Turan,VN,89.6,few clouds,16.0678,108.2208,Sun River Hotel
387,Hualmay,PE,63.82,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
388,Nantucket,US,60.91,overcast clouds,41.2835,-70.0995,Jared Coffin House
389,Boralday,KZ,87.66,broken clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
391,Wanxian,CN,82.87,scattered clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
393,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
395,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
396,Sistranda,NO,57.16,overcast clouds,63.7256,8.834,Hotell Frøya
397,Ville-Marie,CA,53.6,broken clouds,47.3335,-79.433,La Bannik
398,Kalmar,SE,76.14,clear sky,56.6616,16.3616,First Hotel Witt
399,Redmond,US,55.51,broken clouds,47.674,-122.1215,Seattle Marriott Redmond
402,Molina,CL,51.37,overcast clouds,-35.1167,-71.2833,Hostal Pucará
403,Grand-Santi,GF,76.24,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
404,Howick,ZA,58.03,broken clouds,-29.4779,30.2306,Skyblu
405,Pahalgam,IN,53.38,light rain,34.0333,75.3333,Grand Mumtaz Resorts Pahalgam
407,Port Hedland,AU,73.4,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
410,Hasaki,JP,64.8,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
412,Selma,US,71.98,clear sky,36.5708,-119.6121,Holiday Inn Selma-Swancourt
414,Gwanda,ZW,73.29,broken clouds,-20.9333,29.0,Mafax Homeways
415,Chibombo,ZM,81.18,few clouds,-14.6569,28.0706,Chibombo District Council Guest House
418,Skelleftea,SE,66.0,clear sky,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
421,Rivne,UA,62.85,clear sky,50.6231,26.2274,Myr Hotel
422,Kabanjahe,ID,61.56,heavy intensity rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
424,Wajima,JP,59.67,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
425,Senanga,ZM,85.28,broken clouds,-16.1167,23.2667,Zango lodge
426,Teguise,ES,70.02,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
427,Tynda,RU,52.14,overcast clouds,55.1667,124.7167,Medis
428,Agadir,MA,79.25,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
429,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
430,Rodez,FR,75.04,scattered clouds,44.5,2.5833,L'Auberge du Château
431,Dourados,BR,62.15,overcast clouds,-22.2211,-54.8056,Bravo City Hotel
434,Puerto Quijarro,BO,67.48,overcast clouds,-17.7833,-57.7667,Hotel palance
435,Banjar,ID,80.46,broken clouds,-8.19,114.9675,The Hamsa Resort
436,Suoyarvi,RU,54.28,moderate rain,62.0833,32.35,Mini-Hotel Comfort
437,Hami,CN,89.22,clear sky,42.8,93.45,Laoyutang Resort
438,Alexandria,EG,82.36,scattered clouds,31.2156,29.9553,Royal Crown Hotel
440,Karasjok,NO,51.8,few clouds,69.4719,25.5112,Karasjok camping AS
