City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Vieques,PR,18.425,-65.8329,82.9,83,40,12.62,scattered clouds
270,Soyo,AO,-6.1349,12.3689,82.4,78,75,6.91,broken clouds
271,Union,US,40.6334,-74.2663,55.9,88,75,8.05,broken clouds
272,Chandil,IN,22.9667,86.05,91.2,27,33,8.5,scattered clouds
273,Upernavik,GL,72.7868,-56.1549,31.37,87,100,3.56,overcast clouds
274,Hobart,AU,-42.8794,147.3294,44.46,85,100,3.0,overcast clouds
275,Lagoa,PT,39.05,-27.9833,62.67,87,92,13.96,overcast clouds
276,Grand Gaube,MU,-20.0064,57.6608,81.0,67,6,5.01,clear sky
277,Puerto Escondido,MX,15.85,-97.0667,76.03,88,20,8.05,few clouds
278,Avarua,CK,-21.2078,-159.775,69.85,73,68,3.44,broken clouds
279,Port Elizabeth,ZA,-33.918,25.5701,69.1,72,20,16.11,few clouds
280,Ha Tinh,VN,18.3333,105.9,89.71,59,77,8.39,broken clouds
281,Alcaniz,ES,41.05,-0.1333,79.83,37,99,5.17,overcast clouds
282,Vila Velha,BR,-20.3297,-40.2925,80.55,83,40,5.99,scattered clouds
283,Kulhudhuffushi,MV,6.6221,73.07,83.28,74,84,18.61,broken clouds
284,Wucheng,CN,29.6008,118.175,72.09,73,77,2.98,broken clouds
285,Intibuca,HN,14.3167,-88.1667,58.59,95,90,3.78,overcast clouds
286,Owase,JP,34.0667,136.2,63.61,92,20,3.71,few clouds
287,Komsomolskiy,UZ,40.4272,71.7189,93.92,14,0,4.61,clear sky
288,Qaqortoq,GL,60.7167,-46.0333,44.6,57,75,6.91,broken clouds
289,Kedrovyy,RU,56.1667,91.8167,62.6,29,0,6.71,clear sky
290,Udachnyy,RU,66.4167,112.4,65.14,32,72,15.05,broken clouds
291,Pimentel,PE,-6.8367,-79.9342,66.49,88,90,1.99,overcast clouds
292,Uvira,CD,-3.4067,29.1458,82.17,59,78,7.25,broken clouds
293,Adrar,MR,20.5022,-10.0711,101.68,15,79,5.88,broken clouds
294,Sambava,MG,-14.2667,50.1667,81.07,61,10,10.11,clear sky
295,Sisimiut,GL,66.9395,-53.6735,33.51,100,100,9.42,snow
296,Byron Bay,AU,-28.65,153.6167,53.6,94,5,7.67,clear sky
297,Tura,IN,25.5198,90.2201,74.79,97,100,5.73,moderate rain
298,Thaba-Tseka,LS,-29.522,28.6084,49.75,28,67,16.67,broken clouds
299,Araouane,ML,18.9048,-3.5265,109.11,5,12,4.97,few clouds
300,Brae,GB,60.3964,-1.353,48.11,71,10,14.0,clear sky
301,San Pedro,PH,14.35,121.0167,87.31,76,40,5.59,scattered clouds
302,Isakly,RU,54.1333,51.5333,56.71,80,99,14.0,overcast clouds
303,Denison,US,33.7557,-96.5367,64.71,88,75,1.01,moderate rain
304,Portland,US,45.5234,-122.6762,60.24,77,58,3.0,broken clouds
305,Bay Saint Louis,US,30.3088,-89.33,66.29,84,1,8.66,clear sky
306,Lompoc,US,34.6391,-120.4579,56.37,100,90,2.13,overcast clouds
307,Nazas,MX,25.2333,-104.1333,70.34,78,9,1.81,clear sky
308,Abonnema,NG,4.7084,6.7931,82.4,74,40,7.0,light rain
309,Qena,EG,26.1615,32.7183,111.31,5,7,7.94,clear sky
310,Abong Mbang,CM,3.9833,13.1833,89.28,46,56,2.15,broken clouds
311,Daitari,IN,21.1,85.75,96.21,39,22,1.54,few clouds
312,Lithakia,GR,37.7167,20.8333,72.82,49,40,13.8,scattered clouds
313,Rio Grande,BR,-32.035,-52.0986,46.51,62,5,10.09,clear sky
314,Morgan City,US,29.6994,-91.2068,68.0,100,1,3.44,clear sky
315,Orbetello,IT,42.4408,11.2196,75.2,43,20,13.8,few clouds
316,San Francisco,US,37.7749,-122.4194,60.76,85,1,3.0,clear sky
317,Monrovia,LR,6.3005,-10.7969,82.17,91,100,1.36,light rain
318,Kenai,US,60.5544,-151.2583,44.01,93,1,5.75,clear sky
319,Ostrovnoy,RU,68.0531,39.5131,45.43,81,99,17.43,overcast clouds
320,Fairbanks,US,64.8378,-147.7164,56.82,65,90,3.44,overcast clouds
321,Pochutla,MX,15.7432,-96.4661,76.82,78,91,3.33,overcast clouds
322,Mount Isa,AU,-20.7333,139.5,62.37,51,40,0.0,scattered clouds
323,Oistins,BB,13.0667,-59.5333,84.29,58,40,21.85,scattered clouds
324,Coquimbo,CL,-29.9533,-71.3436,46.13,100,75,4.05,broken clouds
325,Glens Falls,US,43.3095,-73.644,51.71,93,90,1.99,overcast clouds
326,Calama,CL,-22.4667,-68.9333,41.49,42,0,20.71,clear sky
327,Miramar,US,25.9873,-80.2323,82.99,83,1,5.75,clear sky
328,Kangaba,ML,11.9333,-8.4167,96.13,34,100,5.97,overcast clouds
329,Kloulklubed,PW,7.0419,134.2556,82.9,77,100,17.67,overcast clouds
330,Kirakira,SB,-10.4544,161.9205,77.86,88,100,9.31,overcast clouds
331,Marsa Matruh,EG,31.3525,27.2453,78.8,57,0,11.5,clear sky
332,Floro,NO,61.5996,5.0328,51.8,87,75,10.36,broken clouds
333,Stornoway,GB,58.2093,-6.3865,64.92,52,20,10.36,few clouds
334,Tremedal,BR,-14.9758,-41.4108,73.76,59,34,5.39,scattered clouds
335,Seoul,KR,37.5683,126.9778,71.6,64,75,4.61,broken clouds
336,Las Rosas,AR,-32.4766,-61.5804,49.77,73,5,8.55,clear sky
337,Nome,US,64.5011,-165.4064,41.07,81,1,0.0,clear sky
338,Boueni,YT,-12.9025,45.0761,85.98,68,2,6.85,light rain
339,Pucallpa,PE,-8.3791,-74.5539,72.32,99,100,1.03,overcast clouds
340,Mehamn,NO,71.0357,27.8492,42.71,89,99,30.89,overcast clouds
341,Wangkui,CN,46.8333,126.5,67.6,50,100,15.61,overcast clouds
342,Zaton,RU,53.2936,83.8072,78.39,25,0,7.38,clear sky
343,Kirkwall,GB,58.9848,-2.9587,53.6,82,20,14.97,fog
344,Telde,ES,27.9924,-15.4192,72.05,60,20,27.63,few clouds
345,Muskegon,US,43.3,-86.1334,56.05,72,90,4.85,overcast clouds
346,Aripuana,BR,-9.1667,-60.6333,75.0,70,78,1.9,broken clouds
347,Souillac,MU,-20.5167,57.5167,80.6,65,20,9.22,few clouds
348,Dingle,PH,10.9995,122.6711,80.56,86,100,3.58,moderate rain
